"t","Ta","Tinner","Touter","Pinner","Pouter"
1706105090,21.88,73.6025,68.2821,0,0
1706105100,21.88,73.3525,68.1572,0,0
1706105110,21.946,73.1025,68.0303,0,0
1706105120,22.033,72.8525,67.8904,0,150
1706105130,22.06,72.6241,67.7725,0,300
1706105140,22.06,72.4119,67.9146,60,300
1706105150,22.06,72.2525,68.299,300,300
1706105160,22.093,72.6316,68.7471,270,300
1706105170,22.12,73.7062,69.2282,0,300
1706105180,22.1585,74.4935,69.6868,0,300
1706105190,22.1515,74.575,70.1682,0,300
1706105200,22.12,74.4112,70.6268,0,180
1706105210,22.12,74.1841,71.055,0,0
1706105220,22.1585,73.9719,71.2257,0,0
1706105230,22.19,73.7441,71.1386,0,0
1706105240,22.19,73.5355,70.9721,0,0
1706105250,22.19,73.314,70.8304,0,0
1706105260,22.223,73.1235,70.6425,0,0
1706105270,22.25,72.9335,70.4525,0,0
1706105280,22.25,72.7219,70.2821,0,120
1706105290,22.25,72.4977,70.174,0,300
1706105300,22.25,72.3134,70.2117,0,300
1706105310,22.25,72.1235,70.5536,0,300
1706105320,22.283,71.9335,70.9872,0,210
1706105330,22.31,71.7435,71.3839,0,0
1706105340,22.31,71.5787,71.5939,0,0
1706105350,22.31,71.4328,71.5282,0,0
1706105360,22.31,71.2687,71.3904,0,0
1706105370,22.31,71.1228,71.2025,0,0
1706105380,22.31,70.9587,71.0153,0,0
1706105390,22.3485,70.8128,70.8322,0,0
1706105400,22.38,70.6451,70.6425,0,90
1706105410,22.38,70.5181,70.4889,0,300
1706105420,22.38,70.3728,70.5118,0,300
1706105430,22.413,70.2051,70.8029,0,300
1706105440,22.44,70.0781,71.2135,0,240
1706105450,22.44,69.958,71.5754,0,0
1706105460,22.473,69.8344,71.8007,0,0
1706105470,22.5,69.7045,71.7764,0,0
1706105480,22.5,69.5781,71.6236,0,0
1706105490,22.5,69.458,71.3943,0,0
1706105500,22.5,69.3344,71.2025,0,0
1706105510,22.533,69.2297,71.0153,0,0
1706105520,22.56,69.1438,70.8126,0,60
1706105530,22.56,69.0181,70.5942,0,300
1706105540,22.56,68.8944,70.5904,0,300
1706105550,22.593,68.7681,70.9071,0,300
1706105560,22.587,68.6444,71.299,0,300
1706105570,22.56,68.5397,71.7135,0,300
1706105580,22.56,68.4574,72.095,0,300
1706105590,22.56,68.356,72.489,0,300
1706105600,22.56,68.2891,72.9203,0,300
1706105610,22.56,68.229,73.3404,0,300
1706105620,22.56,68.1654,73.7153,0,300
1706105630,22.593,68.0991,74.1118,0,300
1706105640,22.62,68.039,74.5304,0,300
1706105650,22.62,68.0006,74.8857,0,300
1706105660,22.62,67.9784,75.2339,0,300
1706105670,22.62,67.9406,75.6364,0,300
1706105680,22.62,67.94,75.9572,0,300
1706105690,22.6585,67.9184,76.2843,0,300
1706105700,22.69,67.8806,76.6553,0,300
1706105710,22.69,67.88,77.0154,0,300
1706105720,22.69,67.88,77.3443,0,300
1706105730,22.69,67.9016,77.6985,0,300
1706105740,22.69,67.9394,78.0004,0,300
1706105750,22.69,67.94,78.2861,0,300
1706105760,22.69,67.9616,78.6385,0,270
1706105770,22.723,67.9994,78.9376,0,0
1706105780,22.75,68.0216,79.0792,0,0
1706105790,22.75,68.0594,78.9336,0,0
1706105800,22.75,68.06,78.6539,0,0
1706105810,22.75,68.0816,78.3015,0,0
1706105820,22.75,68.1194,77.9828,0,0
1706105830,22.75,68.1452,77.6725,0,0
1706105840,22.75,68.1893,77.3793,0,0
1706105850,22.75,68.19,77.1107,0,0
1706105860,22.75,68.19,76.7997,0,0
1706105870,22.75,68.19,76.4828,0,0
1706105880,22.75,68.19,76.1725,0,0
1706105890,22.783,68.19,75.8793,0,0
1706105900,22.81,68.19,75.6107,0,0
1706105910,22.81,68.1648,75.3165,0,0
1706105920,22.81,68.1207,75.0606,0,0
1706105930,22.81,68.0984,74.7976,0,0
1706105940,22.81,68.0606,74.4996,0,0
1706105950,22.81,68.0384,74.2475,0,0
1706105960,22.81,67.979,73.9975,0,0
1706105970,22.81,67.9406,73.7475,0,0
1706105980,22.8485,67.9184,73.4975,0,0
1706105990,22.88,67.8554,73.2475,0,0
1706106000,22.88,67.7891,72.9975,0,0
1706106010,22.88,67.729,72.7475,0,0
1706106020,22.88,67.6654,72.4975,0,0
1706106030,22.88,67.5991,72.2643,0,0
1706106040,22.88,67.539,72.0585,0,0
1706106050,22.88,67.479,71.8144,0,0
1706106060,22.88,67.419,71.5774,0,0
1706106070,22.88,67.3554,71.3754,0,0
1706106080,22.88,67.2891,71.1443,0,0
1706106090,22.8415,67.229,70.9357,0,0
1706106100,22.81,67.1654,70.7043,0,0
1706106110,22.81,67.0991,70.5153,0,0
1706106120,22.8485,67.039,70.3322,0,0
1706106130,22.88,66.979,70.1257,0,0
1706106140,22.88,66.8938,69.8943,0,0
1706106150,22.88,66.7897,69.7025,0,0
1706106160,22.88,66.729,69.4957,0,0
1706106170,22.88,66.6438,69.2643,0,0
1706106180,22.913,66.5397,69.0753,0,0
1706106190,22.94,66.479,68.8922,0,0
1706106200,22.94,66.3938,68.7025,0,0
1706106210,22.94,66.2897,68.5153,0,0
1706106220,22.94,66.2038,68.3322,0,0
1706106230,22.94,66.0997,68.1425,0,0
1706106240,22.94,66.0174,67.9525,0,0
1706106250,22.94,65.9196,67.7625,0,0
1706106260,22.94,65.8338,67.5753,0,0
1706106270,22.94,65.7297,67.3922,0,0
1706106280,22.94,65.6438,67.2025,0,0
1706106290,22.94,65.5397,67.0321,0,0
1706106300,22.94,65.4574,66.8904,0,0
1706106310,22.94,65.3344,66.7025,0,0
1706106320,22.94,65.2297,66.5321,0,0
1706106330,22.94,65.1438,66.3904,0,0
1706106340,22.94,65.0397,66.2025,0,0
1706106350,22.973,64.9574,66.0153,0,0
1706106360,23,64.8344,65.849,0,0
1706106370,23,64.7297,65.7007,0,0
1706106380,23,64.6438,65.5321,0,0
1706106390,23,64.5181,65.3904,0,0
1706106400,23,64.3944,65.2193,0,0
1706106410,23,64.2897,65.0735,0,0
1706106420,23,64.2038,64.909,0,0
1706106430,23,64.0997,64.7607,0,0
1706106440,23,64.0174,64.5921,0,0
1706106450,23,63.8944,64.4504,0,0
1706106460,23,63.7681,64.2821,0,0
1706106470,23,63.666,64.1404,0,0
1706106480,23,63.5775,63.9721,0,0
1706106490,23,63.458,63.8472,0,0
1706106500,23,63.356,63.7175,0,0
